
ลำดับ,รหัสสถานบริการ,,ชื่อสถานบริการ,,ตำบล/แขวงที่ตั้ง,อำเภอ/เขตที่ตั้ง,,จังหวัดที่ตั้ง,สปสช.เขตที่ตั้ง,,สถานะการขึ้นทะเบียน,,,สังกัดหลัก,สังกัดย่อย
167,13760,,โรงพยาบาลมะเร็งชลบุรี,,เสม็ด,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐในสธ.(นอก สป.),สังกัดกรมการแพทย์,
170,13766,,โรงพยาบาลมหาวิทยาลัยบูรพา,,แสนสุข,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,รัฐนอก สธ.,สังกัดกระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,
175,14291,,ศูนย์บริการสาธารณสุขเทศบาลเมืองชลบุรี,,-,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการตามข้อบังคับสปสช.ที่ไม่ประสงค์ร่วมจัดบริการ,,,รัฐนอก สธ.(อปท.),สถานบริการสังกัดองค์กรปกครองส่วนท้องถิ่น(อปท.),
176,14292,,ศูนย์บริการสาธารณสุขเทศบาลตำบลแสนสุข,,แสนสุข,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการตามข้อบังคับสปสช.ที่ไม่ประสงค์ร่วมจัดบริการ,,,รัฐนอก สธ.(อปท.),สถานบริการสังกัดองค์กรปกครองส่วนท้องถิ่น(อปท.),
177,14293,,ศูนย์บริการสาธารณสุขเทศบาลเมืองศรีราชา,,เขาคันทรง,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการตามข้อบังคับสปสช.ที่ไม่ประสงค์ร่วมจัดบริการ,,,รัฐนอก สธ.(อปท.),สถานบริการสังกัดองค์กรปกครองส่วนท้องถิ่น(อปท.),
179,14296,,ศูนย์แพทย์ชุมชนตำบลบ้านบึง,,บ้านบึง,บ้านบึง,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการตามข้อบังคับสปสช.ที่ไม่ประสงค์ร่วมจัดบริการ,,,รัฐในสธ.(สังกัด สป.),ศูนย์สุขภาพชุมชน(ในสังกัด สป.สธ.),
180,14297,,ศูนย์บริการสาธารณสุขเทศบาลเมืองพนัสนิคม,,กุฎโง้ง,พนัสนิคม,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการตามข้อบังคับสปสช.ที่ไม่ประสงค์ร่วมจัดบริการ,,,รัฐนอก สธ.(อปท.),สถานบริการสังกัดองค์กรปกครองส่วนท้องถิ่น(อปท.),
182,14529,,ศูนย์บริการสาธารณสุขเทศบาลตำบลหนองตำลึง,,หนองตำลึง,พานทอง,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการตามข้อบังคับสปสช.ที่ไม่ประสงค์ร่วมจัดบริการ,,,รัฐนอก สธ.(อปท.),สถานบริการสังกัดองค์กรปกครองส่วนท้องถิ่น(อปท.),
184,15055,,ศูนย์บริการสาธารณสุขเทศบาลตำบลบางละมุง,,เขาไม้แก้ว,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการตามข้อบังคับสปสช.ที่ไม่ประสงค์ร่วมจัดบริการ,,,รัฐนอก สธ.(อปท.),สถานบริการสังกัดองค์กรปกครองส่วนท้องถิ่น(อปท.),
185,15059,,ศูนย์บริการสาธารณสุขเทศบาลตำบลบ้านสวน,,บ้านสวน,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการตามข้อบังคับสปสช.ที่ไม่ประสงค์ร่วมจัดบริการ,,,รัฐนอก สธ.(อปท.),สถานบริการสังกัดองค์กรปกครองส่วนท้องถิ่น(อปท.),
186,15075,,ศูนย์บริการสาธารณสุขสำนักเทศบาลตำบลอ่างศิลา,,อ่างศิลา,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการตามข้อบังคับสปสช.ที่ไม่ประสงค์ร่วมจัดบริการ,,,รัฐนอก สธ.(อปท.),สถานบริการสังกัดองค์กรปกครองส่วนท้องถิ่น(อปท.),
189,15212,,ศูนย์บริการสาธารณสุขเทศบาลเจ้าพระยาสุรศักดิ์มนตรี,,ศรีราชา,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการตามข้อบังคับสปสช.ที่ไม่ประสงค์ร่วมจัดบริการ,,,รัฐนอก สธ.(อปท.),สถานบริการสังกัดองค์กรปกครองส่วนท้องถิ่น(อปท.),
190,21610,,สถานพยาบาลเมดิคอลเวชการ,,บ่อวิน,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,โรงพยาบาล (เอกชน),
191,22670,,คลินิกหมอครอบครัว ศูนย์สุขภาพชุมชนเมืองชลบุรี,,บ้านสวน,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการภาครัฐที่ยังไม่ขอขึ้นทะเบียนหน่วยบริการ,,,รัฐในสธ.(สังกัด สป.),ศูนย์สุขภาพชุมชน(ในสังกัด สป.สธ.),
192,22720,,คลินิกทันตกรรมเด็นทอลแคร์,,ศรีราชา,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
193,22722,,ศูนย์ทันตกรรมเด็นตัลคอร์นเนอร์,,ศรีราชา,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
197,23207,,เอกชล 2 โรงพยาบาลทั่วไปขนาดใหญ่,,เสม็ด,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน),
199,23914,,ปิยะเวชช์ บ่อวินโรงพยาบาลทั่วไปขนาดกลาง,,บ่อวิน,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติ,,,เอกชน,โรงพยาบาล (เอกชน),
200,23965,,ศูนย์บริการสาธารณสุขเมืองพัทยา,,หนองปรือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,หน่วยบริการตามข้อบังคับสปสช.ที่ไม่ประสงค์ร่วมจัดบริการ,,,รัฐนอก สธ.(อปท.),สถานบริการสังกัดองค์กรปกครองส่วนท้องถิ่น(อปท.),
202,24095,,คลินิกแพทย์สมชาย,,บ้านบึง,บ้านบึง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
203,24096,,คลินิกเวชกรรมหมอเบญจวรรณ,,หนองตำลึง,พานทอง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
204,24097,,คลินิกเกษมการแพทย์,,พนัสนิคม,พนัสนิคม,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
205,24098,,คลินิกเวชกรรมแพทย์สุริยัน,,เสม็ด,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
206,24099,,คลินิกเวชกรรมแพทย์ สุมนา-สายันต์,,เสม็ด,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
207,24100,,เกาะโพธิ์คลินิกการแพทย์,,ท่าบุญมี,เกาะจันทร์,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
208,24101,,คลินิกเวชกรรมแพทย์จิรศักดิ์,,ทุ่งสุขลา,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
209,24102,,คลินิกกมลการแพทย์,,บางพระ,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
210,24103,,คลินิกเด็กหมอกฤษดา,,เสม็ด,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
211,24104,,คลินิกจุมพลการแพทย์,,บ้านบึง,บ้านบึง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
212,24105,,หมอพรชัยคลินิกเวชกรรม,,บ้านเก่า,พานทอง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
213,24106,,คลินิกสิงห์โต-พัชรินทร์การแพทย์,,บ้านโขด,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
214,24107,,คลินิกเวชกรรมแพทย์รัชดาภรณ์,,บ่อทอง,บ่อทอง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
215,24108,,คลินิกเวชกรรมแพทย์สมเกียรติ,,บ้านบึง,บ้านบึง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
216,24109,,หมอเด็กคลินิกเวชกรรมเฉพาะทาง,,ดอนหัวฬ่อ,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
217,24110,,คลินิกแพทย์กันตนพกระดูกและข้อ,,บางปลาสร้อย,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
218,24111,,คลินิกเฉพาะทางหมอพัชรินทร์-หมอทรงวุฒิ,,หนองปรือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
219,24112,,คลินิกเวชกรรมแพทย์พินิจ-ขนิษฐ์ชม,,บ้านสวน,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
220,24113,,คลินิกแพทย์พนิต,,หนองรี,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
221,24114,,คลินิกแพทย์พงษ์ปกรณ์,,บ้านบึง,บ้านบึง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
222,24115,,คลินิกแพทย์อภิชาติเวชกรรม,,พนัสนิคม,พนัสนิคม,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
223,24116,,สหพัฒน์คลินิกเวชกรรม,,หนองขาม,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
224,24117,,คลินิกเวชกรรมแพทย์วินิตย์,,บ้านสวน,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
225,24118,,คลินิกเวชกรรมหมอศิริพร,,ท่าบุญมี,เกาะจันทร์,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
226,24119,,คลินิกแพทย์อาภรณ์,,คลองกิ่ว,บ้านบึง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
227,24120,,คลินิกแพทย์แววดาว,,บ้านบึง,บ้านบึง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
228,24121,,คลินิกเด็กหมออนุพงษ์,,บางปลาสร้อย,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
229,24122,,คลินิกเวชกรรมแพทย์โสภณ,,พานทอง,พานทอง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
230,24123,,คลินิกแพทย์สมจริง,,หนองชาก,บ้านบึง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
231,24124,,แฟมิลี่คลินิกเวชกรรม,,นาป่า,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
232,24126,,คลินิกแพทย์คณิศร,,บางทราย,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
