
ลำดับ,รหัสสถานบริการ,,ชื่อสถานบริการ,,ตำบล/แขวงที่ตั้ง,อำเภอ/เขตที่ตั้ง,,จังหวัดที่ตั้ง,สปสช.เขตที่ตั้ง,,สถานะการขึ้นทะเบียน,,,สังกัดหลัก,สังกัดย่อย
554,45778,,คลินิกชัยภูมิทันตแพทย์ คลินิกทันตกรรม,,นาป่า,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
557,45791,,คลินิกทันตกรรมสุกัญญา,,หนองปรือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
560,45799,,คลินิกทันตกรรมชีส,,ทุ่งสุขลา,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
563,45812,,คลินิกทันตกรรมปิ่นทอง,,หนองขาม,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
564,45819,,คลินิกทันตกรรมพรีม่า เดนทัลแคร์,,แสนสุข,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
566,45830,,คลินิกทันตกรรมหมอฟันคู่ใจ สาขาแหลมฉบัง,,ทุ่งสุขลา,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,, - ,,,เอกชน,คลินิก (เอกชน),
567,45836,,คลินิกทันตกรรมนาเกลือทันตแพทย์,,นาเกลือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
569,45838,,กิ๊ฟสไมล์ คลินิกเฉพาะทางด้านทันตกรรมจัดฟัน,,บ้านสวน,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
570,45840,,คลินิกทันตกรรมอ่าวอุดม,,ทุ่งสุขลา,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
571,45862,,คลินิกทันตกรรม เดนทัล คาเฟ่,,บ่อวิน,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
572,45872,,คลินิกทันตกรรม ดิ เอ็กซ์ตร้า สไมล์,,หนองปรือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
574,45881,,คลินิกทันตกรรมเพื่อนของฟัน,,หนองหงษ์,พานทอง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
576,45903,,คลินิกทันตกรรมเดนต้าจอย สาขาพัทยา,,หนองปรือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
577,45904,,คลินิกทันตกรรมสุขภาพฟัน,,ศรีราชา,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
578,45907,,คลินิกทันตกรรมรักฟัน,,ศรีราชา,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
579,45910,,คลินิกทันตกรรมพราวเดนทัล,,หนองปรือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
580,45914,,คลินิกทันตกรรมซันไชน์,,สุรศักดิ์,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
582,45924,,คลินิกทันตกรรมใจเย็น,,คลองตำหรุ,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
583,45927,,บ้านบางทราย สหคลินิก,,บางทราย,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
584,45930,,คลินิกทันตกรรมเฉลิมพล,,สัตหีบ,สัตหีบ,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
585,45937,,คลินิกทันตกรรมดิเอ็มเพรส,,ดอนหัวฬ่อ,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
586,45949,,คลินิกทันตกรรมสไมล์สตูดิโอ,,แสนสุข,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
587,45950,,คลินิกทันตกรรมพริ้มสมาย,,พานทอง,พานทอง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
589,45957,,คลินิกทันตกรรมสถานีฟันยิ้ม,,หนองขาม,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
590,45963,,คลินิกทันตกรรม คอตตอน สไมล์,,แสนสุข,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
593,45972,,คลินิกทันตกรรมเวลสไมล์,,ห้วยกะปิ,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
595,45976,,คลินิกทันตกรรมยิ้มกว้าง,,ทุ่งสุขลา,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
596,45977,,คลินิกทันตกรรมศิลาสไมล์,,อ่างศิลา,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
597,45986,,คลินิกทันตกรรมธรรมฟัน,,สุรศักดิ์,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
598,45993,,คลินิกทันตกรรมแซสซี่สไมล์บางเสร่,,บางเสร่,สัตหีบ,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
599,45994,,คลินิกทันตกรรมไลค์สไมล์,,หนองขาม,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
600,45999,,คลินิกทันตกรรมตะวันออกทันตแพทย์,,บางปลาสร้อย,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
601,46001,,คลินิกทันตกรรมรักษ์ฟันบางเสร่,,บางเสร่,สัตหีบ,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
602,46008,,คลินิกทันตกรรมด็อกเตอร์สไมล์,,หนองปรือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
603,46009,,ทนต์ดีคลินิกทันตกรรม,,บ้านโขด,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
604,46013,,คลินิกทันตกรรมธรรมฟันบ่อวิน,,บ่อวิน,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
607,46018,,คลินิกทันตกรรมรักยิ้มทันตแพทย์,,นาเกลือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
608,46022,,คลินิกทันตกรรมหนองตำลึง,,หนองตำลึง,พานทอง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
609,46025,,คลินิกทันตกรรมวีเดลทัลคลินิก2,,หนองปรือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
610,46027,,คลินิกทันตกรรมบ้านทันตแพทย์1974,,บางปลาสร้อย,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
611,46036,,คลินิกทันตกรรมแฟมิลี่เดนทอลแคร์,,หนองปรือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
612,46037,,คลินิกทันตกรรม บ้าน ฟ.ฟัน,,นาเกลือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
613,46040,,คลินิกทันตกรรมยัวร์เดนทิส,,หนองปรือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
614,46041,,คลินิกทันตกรรมวีเดลทัลคลินิก,,หนองปรือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
615,46046,,คลินิกทันตกรรมถิรตา,,หนองปรือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
618,46052,,คลินิกทันตกรรมเดอะวัน,,หนองปรือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
621,46071,,คลินิกทันตกรรมเอฟโฟร์ สาขาดอนหัวฬ่อ,,ดอนหัวฬ่อ,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
623,46077,,คลินิกทันตกรรมลิตเติ้ลทีธ,,เสม็ด,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
624,46083,,คลินิกทันตกรรมนาป่า,,นาป่า,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
625,46084,,คลินิกทันตกรรมแฟมิลี่ สไมล์,,นาป่า,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
626,46087,,คลินิกทันตกรรมหนองมน,,แสนสุข,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
627,46088,,คลินิกทันตกรรมฟันสะอาด,,สุรศักดิ์,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
628,46111,,คลินิกพนัสทันตแพทย์,,พนัสนิคม,พนัสนิคม,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
631,46123,,คลินิกทันตกรรมเดนทัลแลนด์,,พานทอง,พานทอง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
632,46127,,คลินิกทันตกรรมเอ-สมายล์,,กุฎโง้ง,พนัสนิคม,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
633,46131,,คลินิกเฉพาะทางด้านทันตกรรมจัดฟัน สไมล์ทูเกตเตอร์,,สุรศักดิ์,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
634,46134,,คลินิกทันตกรรมไอเด๊นท์โดยหมอฉัตร,,หนองชาก,บ้านบึง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
635,46167,,คลินิกทันตกรรมพัทยากลาง,,หนองปรือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
637,46179,,กู๊ดเดนทัลคลินิกทันตกรรม,,เสม็ด,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
638,46190,,คลินิกทันตกรรมเด็นทัลสไมล์พัทยา,,หนองปรือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
639,46191,,คลินิกทันตกรรม คราฟท์ เดนทัล,,สัตหีบ,สัตหีบ,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
640,46195,,บีดีซีบางแสนเดนทัลคลินิกทันตกรรม,,แสนสุข,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
642,46205,,คลินิกทันตกรรมแฮปปี้,,หนองปรือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,, - ,,,เอกชน,คลินิก (เอกชน),
644,46229,,คลินิกทันตกรรมเขาตาโลเดนทัลแคร์,,หนองปรือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
645,46242,,คลินิกทันตกรรมโกศล,,ทุ่งสุขลา,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
646,46248,,คลินิกทันตกรรมจุฬาทันตแพทย์,,พลูตาหลวง,สัตหีบ,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
648,46256,,คลินิกทันตกรรมสไมล์แฟคทอรี่สาขาเครือสหพัฒน์,,หนองขาม,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
649,46268,,คลินิกทันตกรรมอำนาจทันตแพทย์,,เสม็ด,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
650,46270,,คลินิกทันตกรรมสตาร์เด็นท์,,เสม็ด,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
651,46271,,คลินิกทันตกรรมเดนทัลเพลส,,แสนสุข,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
652,46275,,คลินิกทันตกรรมดีดีเดนทัลเดย์,,บ้านบึง,บ้านบึง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
653,46285,,คลินิกทันตกรรมยิ้มสไมล์,,ดอนหัวฬ่อ,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
654,46289,,คลินิกทันตกรรมนิวสไมล์,,บ่อวิน,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
655,46291,,คลินิกทันตกรรมบ้านยิ้มสวย 5,,บ่อวิน,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
656,46317,,คลินิกทันตกรรมเด้นท์อินทัช,,เสม็ด,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
657,46318,,คลินิกทันตกรรมนูน่าสไมล์,,สัตหีบ,สัตหีบ,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
658,46322,,คลินิกทันตกรรมวีสไมล์,,นาเกลือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
660,46331,,คลินิกทันตกรรมฟันสบาย,,บึง,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
661,46336,,คลินิกทันตกรรมสหพัฒน์,,หนองขาม,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
662,46348,,คลินิกทันตกรรมพัทยาสไมล์,,หนองปรือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
664,46356,,คลินิกทันตกรรม ไอสไมล์,,ศรีราชา,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
666,46360,,คลินิกทันตกรรม เมโทรเด็นทอลศรีราชา,,สุรศักดิ์,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
667,46362,,คลินิกทันตกรรมเมโทรเด็นทอลบางแสน,,แสนสุข,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
668,46364,,คลินิกทันตกรรมบ้านหมอฟัน กม.10,,พลูตาหลวง,สัตหีบ,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
669,46369,,คลินิกทันตกรรมบ้านทันตกรรมคลินิก,,บ้านบึง,บ้านบึง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
670,46371,,คลินิกทันตกรรมสยาม,,หนองปรือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
671,46380,,คลินิกทันตกรรมหนองแก (บ้านฟันยิ้ม),,บ้านบึง,บ้านบึง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
673,46411,,ฟอร์ฟันเดนทัล คลินิกทันตกรรม,,บ้านสวน,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
674,46418,,คลินิกทันตกรรมเด็นท์ออฟเลิฟ,,เสม็ด,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
675,46446,,คลินิกทันตกรรมเด็นทัลวิลลา,,แสนสุข,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
677,46455,,คลินิกทันตกรรมชลบุรีเด็นทิสท์,,เสม็ด,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
678,46468,,เดนทิสต้าคลินิกทันตกรรม,,นาเกลือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
679,46469,,คลินิกทันตกรรมไอเด๊นท์,,บางพระ,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
680,46476,,คลินิกทันตกรรมยัวร์สไมล์,,ดอนหัวฬ่อ,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
681,46479,,คลินิกทันตกรรมเอที แฮปปี้สไมล์,,บ้านเก่า,พานทอง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
682,46492,,คลินิกทันตกรรมคิเรอิ,,สุรศักดิ์,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
683,46503,,คลินิกทันตกรรมพิ้งสไมล์,,หนองปรือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
684,46508,,คลินิกทันตกรรมเอมอรทันตแพทย์สาขาตลาดเจ้าสัว,,หนองปรือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
685,46515,,คลินิกทันตกรรมเอมอรทันตแพทย์,,หนองปรือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
686,46526,,คลินิกทันตกรรมฌาร์ม บางแสน,,แสนสุข,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
687,46527,,คลินิกทันตกรรมเจนเทิล,,สุรศักดิ์,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
688,46529,,คลินิกทันตกรรมฌาร์ม ศรีราชา,,ทุ่งสุขลา,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
689,46531,,คลินิกทันตกรรมเด็นทอลโฟกัส,,หนองขาม,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
691,46543,,คลินิกทันตกรรม เดนทิสแอทโฮม,,นาป่า,เมืองชลบุรี,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
692,46577,,คลินิกทันตกรรมเดนทอลสแควร์,,หนองปรือ,บางละมุง,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
693,46590,,คลินิกทันตกรรมฉันรักษ์ฟัน,,หนองขาม,ศรีราชา,,ชลบุรี,เขต 6 ระยอง,,สถานบริการที่ไม่ขึ้นทะเบียนเป็นหน่วยบริการ,,,เอกชน,คลินิก (เอกชน),
