ลำดับ,รหัสสถานบริการ,,ชื่อสถานบริการ,,ตำบล/แขวงที่ตั้ง,อำเภอ/เขตที่ตั้ง,,จังหวัดที่ตั้ง,สปสช.เขตที่ตั้ง,,สถานะการขึ้นทะเบียน,,,สังกัดหลัก,สังกัดย่อย
226,GA0008103,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเวียคะดี้,,หนองลู,สังขละบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
227,GA0008150,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสระลงเรือ ตำบลสระลงเรือ,,สระลงเรือ,ห้วยกระเจา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
228,GA0008011,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านยาง ตำบลท่ามะขาม,,ท่ามะขาม,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
229,CA0043986,,ยาศิริคลินิกการพยาบาลและการผดุงครรภ์,,ตะคร้ำเอน,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
230,EA0010731,,โรงพยาบาลพหลพลพยุหเสนา,,ปากแพรก,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,โรงพยาบาลศูนย์
231,EA0010732,,โรงพยาบาลมะการักษ์,,ท่ามะกา,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,โรงพยาบาลทั่วไป
232,EA0011283,,โรงพยาบาลทองผาภูมิ,,ท่าขนุน,ทองผาภูมิ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,โรงพยาบาลชุมชน
233,EA0011280,,โรงพยาบาลบ่อพลอย,,บ่อพลอย,บ่อพลอย,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,โรงพยาบาลชุมชน
234,EA0011285,,โรงพยาบาลเจ้าคุณไพบูลย์พนมทวน,,พนมทวน,พนมทวน,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,โรงพยาบาลชุมชน
235,EA0011287,,โรงพยาบาลด่านมะขามเตี้ย,,ด่านมะขามเตี้ย,ด่านมะขามเตี้ย,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,โรงพยาบาลชุมชน
236,EA0011281,,โรงพยาบาลท่ากระดาน,,ท่ากระดาน,ศรีสวัสดิ์,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,โรงพยาบาลชุมชน
237,EA0011278,,โรงพยาบาลไทรโยค,,ลุ่มสุ่ม,ไทรโยค,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,โรงพยาบาลชุมชน
238,EA0011286,,โรงพยาบาลเลาขวัญ,,เลาขวัญ,เลาขวัญ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,โรงพยาบาลชุมชน
239,EA0011288,,โรงพยาบาลพยาบาลสถานพระบารมี,,สมเด็จเจริญ,หนองปรือ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,โรงพยาบาลชุมชน
240,EA0011279,,โรงพยาบาลสมเด็จพระปิยมหาราชรมณียเขต,,ไทรโยค,ไทรโยค,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,โรงพยาบาลชุมชน
241,EA0011284,,โรงพยาบาลสังขละบุรี,,หนองลู,สังขละบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,โรงพยาบาลชุมชน
242,EA0021948,,โรงพยาบาลห้วยกระเจา เฉลิมพระเกียรติ 80 พรรษา,,ห้วยกระเจา,ห้วยกระเจา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,โรงพยาบาลชุมชน
243,EA0014136,,โรงพยาบาลศุกร์ศิริศรีสวัสดิ์,,ด่านแม่แฉลบ,ศรีสวัสดิ์,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,โรงพยาบาลชุมชน
244,EA0041701,,โรงพยาบาลหนองปรือ,,หนองปรือ,หนองปรือ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,โรงพยาบาลชุมชน
245,CA0044029,,กันยารัตน์คลินิกการพยาบาลและการผดุงครรภ์,,ท่ามะกา,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
246,CA0044113,,คลินิกท่าม่วงการพยาบาลและผดุงครรภ์,,ท่าม่วง,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
247,CA0044181,,แคร์ยูคลินิกการพยาบาลและการผดุงครรภ์,,บ้านเก่า,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
248,CA0044225,,อรอุมาคลินิกการพยาบาลและผดุงครรภ์,,ท่ามะกา,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
249,CA0038106,,ดี-แล็ปคลินิกเทคนิคการแพทย์,,ท่าม่วง,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
250,GA0041932,,วชิราลงกรณ(เขื่อนเขาแหลม),,ท่าขนุน,ทองผาภูมิ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข
251,GA0044345,,ศูนย์บริการสาธารณสุข เทศบาลตำบลท่ามะขาม,,ท่ามะขาม,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
252,CA0038052,,กายภาพบำบัดคลินิก,,บ้านเหนือ,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
253,CA0044389,,คลินิกพนมทวนการพยาบาลและผดุงครรภ์,,พนมทวน,พนมทวน,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
254,CA0044388,,คลินิกใกล้หมอการพยาบาลและผดุงครรภ์ สาขาบ่อพลอย,,บ่อพลอย,บ่อพลอย,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
255,GA0008017,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านท่ามะนาว ตำบลวังด้ง,,วังด้ง,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
256,GA0008026,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านห้วยน้ำขาว ตำบลบ้านเก่า,,บ้านเก่า,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
257,GA0008020,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านท่าทุ่งนา ตำบลช่องสะเดา,,ช่องสะเดา,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
258,GA0008107,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านยางขาว ตำบลปรังเผล,,ปรังเผล,สังขละบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
259,GA0008028,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านตะเคียนงาม  ตำบลบ้านเก่า,,บ้านเก่า,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
260,GA0008029,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านพุน้ำร้อน ตำบลบ้านเก่า,,บ้านเก่า,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
261,GA0008049,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านไร่เจริญ ตำบลหลุมรัง,,หลุมรัง,บ่อพลอย,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
262,GA0008138,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองปรือ ตำบลหนองปรือ,,หนองปรือ,หนองปรือ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
263,GA0008016,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านวังด้ง ตำบลวังด้ง,,วังด้ง,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
264,GA0008027,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านลำทหาร ตำบลบ้านเก่า,,บ้านเก่า,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
265,GA0008030,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านวังเย็น ตำบลวังเย็น,,วังเย็น,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
266,GA0008035,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านช่องอ้ายกาง ตำบลลุ่มส่ม,,ลุ่มสุ่ม,ไทรโยค,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
267,GA0008010,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเขาพุราง ตำบลปากแพรก,,ปากแพรก,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
268,GA0008044,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านใหม่ ตำบลหนองกุ่ม,,หนองกุ่ม,บ่อพลอย,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
269,GA0008100,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านทุ่งเสือโทน ตำบลชะแล,,ชะแล,ทองผาภูมิ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
270,GA0008122,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโป่งพรหม ตำบลหนองโสน,,หนองโสน,เลาขวัญ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
271,GA0008091,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านไร่    ตำบลห้วยเขย่ง,,ห้วยเขย่ง,ทองผาภูมิ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
272,GA0008057,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านบนเขาแก่งเรียง ตำบลท่ากระดาน,,ท่ากระดาน,ศรีสวัสดิ์,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
273,GA0008121,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองฝ้าย ตำบลหนองฝ้าย,,หนองฝ้าย,เลาขวัญ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
274,GA0008131,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองไผ่เดิม ตำบลหนองไผ่,,หนองไผ่,ด่านมะขามเตี้ย,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
275,GA0008019,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองสามพราน  ตำบลวังด้ง,,วังด้ง,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
276,GA0008045,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านพุพรหม ตำบลหนองกุ่ม,,หนองกุ่ม,บ่อพลอย,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
277,GA0008063,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านดอนชะเอม ตำบลดอนชะเอม,,ดอนชะเอม,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
278,GA0008065,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสำนักคร้อ ตำบลตะคร้ำเอน,,ตะคร้ำเอน,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
279,GA0008087,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านรางสาลี่ ตำบลรางสาลี่,,รางสาลี่,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
280,GA0008098,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านลิ่นถิ่น ตำบลลิ่นถิ่น,,ลิ่นถิ่น,ทองผาภูมิ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
281,GA0008092,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านอู่ล่อง ตำบลท่าขนุน,,ท่าขนุน,ทองผาภูมิ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
282,GA0008108,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านกองม่องทะ ตำบลไล่โว่,,ไล่โว่,สังขละบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
283,GA0008022,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองหญ้า ตำบลหนองหญ้า,,หนองหญ้า,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
284,GA0008118,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแสลบหย่อง ตำบลเลาขวัญ,,เลาขวัญ,เลาขวัญ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
285,GA0008129,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองอำเภอจีน ตำบลทุ่งกระบ่ำ,,ทุ่งกระบ่ำ,เลาขวัญ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
286,GA0008146,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านไพรงาม ตำบลห้วยกระเจา,,ห้วยกระเจา,ห้วยกระเจา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
287,GA0008015,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองแก ตำบลลาดหญ้า,,ลาดหญ้า,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
288,GA0008018,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านท่าทุ่ม ตำบลวังด้ง,,วังด้ง,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
289,GA0008032,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านท่าทุ่งนา ตำบลไทรโยค,,ไทรโยค,ไทรโยค,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
290,GA0008039,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองปลา ตำบลวังกระแจะ,,วังกระแจะ,ไทรโยค,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
291,GA0008094,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเหมืองปิล๊อก ตำบลปิล๊อก,,ปิล๊อก,ทองผาภูมิ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
292,GA0008130,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านทุ่งกระบ่ำ ตำบลทุ่งกระบ่ำ,,ทุ่งกระบ่ำ,เลาขวัญ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
293,GA0008081,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเขาน้อย ตำบลเขาน้อย,,เขาน้อย,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
294,GA0008046,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองรี ตำบลหนองรี,,หนองรี,บ่อพลอย,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
295,GA0008067,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโพธิ์เย็น ตำบลดอนขมิ้น,,ดอนขมิ้น,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
296,GA0008079,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองขาว ตำบลหนองขาว,,หนองขาว,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
297,GA0008101,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านภูเตย ตำบลชะแล,,ชะแล,ทองผาภูมิ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
298,GA0008135,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านไทรทอง ตำบลจรเข้เผือก,,จรเข้เผือก,ด่านมะขามเตี้ย,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
299,GA0008050,,โรงพยาบาลส่งเสริมสุขภาพตำบลช่องด่าน,,ช่องด่าน,บ่อพลอย,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
300,GA0008073,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสนามแย้ ตำบลสนามแย้,,สนามแย้,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
301,GA0008096,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านกุยมั่ง ตำบลหินดาด,,หินดาด,ทองผาภูมิ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
302,GA0008105,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านซองกาเรีย ตำบลหนองลู,,หนองลู,สังขละบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
303,GA0008085,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านห้วยไร่ ตำบลพังตรุ,,พังตรุ,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
304,GA0008124,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านตลุงเหนือ ตำบลหนองประดู่,,หนองประดู่,เลาขวัญ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
305,GA0008136,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองหญ้าปล้อง ตำบลจรเข้เผือก,,จรเข้เผือก,ด่านมะขามเตี้ย,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
306,GA0008145,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านทัพพระยา,,ห้วยกระเจา,ห้วยกระเจา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
307,GA0008126,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองมะสัง,,หนองปลิง,เลาขวัญ,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
308,GA0008074,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านท่าเสา ตำบลท่าเสา,,ท่าเสา,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
309,GA0008132,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านยางเกาะ  ตำบลกลอนโด,,กลอนโด,ด่านมะขามเตี้ย,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
310,CA0044425,,คลินิกวังศาลาการพยาบาลและผดุงครรภ์,,วังศาลา,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
311,CA0044448,,ดอนตาเพชรคลินิกการพยาบาลและการผดุงครรภ์,,ดอนตาเพชร,พนมทวน,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
312,CA0044449,,ยุพยงค์คลินิกการพยาบาลและการผดุงครรภ์,,วังศาลา,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
313,CA0044525,,คลินิกยางเกาะการพยาบาลและผดุงครรภ์,,กลอนโด,ด่านมะขามเตี้ย,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
314,EA0011282,,โรงพยาบาลสมเด็จพระสังฆราชองค์ที่ 19,,ท่าม่วง,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,โรงพยาบาลชุมชน
315,CA0044574,,ท่าไม้ยาวคลินิกการพยาบาลและการผดุงครรภ์,,ด่านมะขามเตี้ย,ด่านมะขามเตี้ย,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
316,GA0041702,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านถ้ำมังกรทอง,,เกาะสำโรง,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
317,GA0008014,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านลาดหญ้า ตำบลลาดหญ้า,,ลาดหญ้า,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
318,GA0008013,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองบัว ตำบลหนองบัว,,หนองบัว,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
319,GA0008064,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านกระต่ายเต้น ตำบลท่าไม้,,ท่าไม้,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
320,GA0008070,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านพระแท่น ตำบลพระแท่น,,พระแท่น,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
321,GA0008078,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเขาดิน ตำบลท่าล้อ,,ท่าล้อ,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
322,GA0008080,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านกร่างทอง ตำบลทุ่งทอง,,ทุ่งทอง,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
323,GA0008012,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแก่งเสี้ยน,,แก่งเสี้ยน,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
324,GA0008061,,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองพันท้าว ตำบลพงตึก,,พงตึก,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
