ลำดับ,รหัสสถานบริการ,,ชื่อสถานบริการ,,ตำบล/แขวงที่ตั้ง,อำเภอ/เขตที่ตั้ง,,จังหวัดที่ตั้ง,สปสช.เขตที่ตั้ง,,สถานะการขึ้นทะเบียน,,,สังกัดหลัก,สังกัดย่อย
37,CA0024439,,คลินิกแพทย์บุญลักษณ์,,ตะคร้ำเอน,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
38,CA0024444,,คลินิกแพทย์ชาติชาย,,ดอนขมิ้น,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
39,CA0024443,,คลินิกหมอภาวิณี,,ท่ามะกา,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
40,CA0024442,,คลินิกนายแพทย์ก่อพงษ์,,ท่ามะกา,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
41,CA0024422,,แฟมิลี่คลินิก(นายแพทย์รักษ์พงศ์),,บ้านใต้,เมืองกาญจนบุรี,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
42,CA0024526,,คลินิกนายแพทย์ชาญศักดิ์,,ดอนขมิ้น,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
43,CA0024527,,คลินิกรณศักดิ์การแพทย์,,ดอนขมิ้น,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
44,CA0024534,,คลินิกแพทย์หญิงผ่องผิว,,ดอนขมิ้น,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
45,GA0008077,,สถานีอนามัยเฉลิมพระเกียรติ 60 พรรษา นวมินทราชินี ตำบลวังศาลา,,วังศาลา,ท่าม่วง,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,รัฐบาล,ศูนย์บริการสาธารณสุข อปท.
46,CA0038168,,มานัสคลินิกเวชกรรมเฉพาะทาง,,ท่ามะกา,ท่ามะกา,,กาญจนบุรี,เขตสุขภาพที่ 5,,กำลังใช้งาน,,,เอกชน,คลินิกเอกชน
